precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,threshold,model_name,status
0.3461472455809164,0.5401713979646492,0.42192239305511975,0.8998644312457547,0.4362782242544925,170224,3810,1717,2017,0.8614191338644812,logreg,ok
0.6662797446314568,0.6148901981788967,0.6395543175487465,0.9206816738966083,0.6613047745765417,172884,1150,1438,2296,0.30858869418344226,random_forest,ok
0.8705607476635514,0.49892876272094266,0.634320735444331,0.9240182654222691,0.6496642930001391,173757,277,1871,1863,0.9070410643995159,lightgbm,ok
0.9333333333333333,0.5249062667380825,0.6719232087761399,0.934085817804879,0.6995397017303719,173894,140,1774,1960,0.7056507985290298,hist_gbm,ok
